ID аниме,Название на русском,Название на английском,Статус,Тип,Жанры,Количество эпизодов,Оценка пользователей,Год выхода,Возрастное ограничение
150,Кровь+,Blood+,Вышло,TV Сериал,Экшен;Драма;Ужасы;Тайна;Сверхъестественное;Жестокость;Военное;Вампиры,50,7.61,2005,0
152,Солти Рэй,Solty Rei,Вышло,TV Сериал,Экшен;Фантастика;Супер сила,24,7.25,2005,0
153,Двенадцать королевств,Juuni Kokuki,Вышло,TV Сериал,Экшен;Приключения;Фэнтези;Исэкай,45,8.01,2002,13
154,Шаман Кинг,Shaman King,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Сверхъестественное;Супер сила,64,7.74,2001,13
155,Икс/1999,X/1999,Вышло,Фильм,Сёдзё;Экшен;Драма;Фэнтези;Тайна;Супер сила,1,6.57,1996,18
156,Икс,X,Вышло,TV Сериал,Сёдзё;Экшен;Драма;Фэнтези;Тайна;Супер сила,24,7.39,2001,18
160,Здесь и сейчас,"Ima, Soko ni Iru Boku",Вышло,TV Сериал,Приключения;Драма;Фэнтези;Фантастика;Исэкай;Военное,13,7.59,1999,0
161,Железный миротворец,Peace Maker Kurogane,Вышло,TV Сериал,Сёнен;Экшен;Комедия;Исторический;Самураи,24,7.29,2003,0
163,Камень власти,Power Stone,Вышло,TV Сериал,Приключения;Комедия;Фэнтези;Исторический,26,6.45,1999,6
164,Принцесса Мононоке,Mononoke Hime,Вышло,Фильм,Экшен;Приключения;Фэнтези;Удостоено наград,1,8.66,1997,13
165,Ра-Зефон,RahXephon,Вышло,TV Сериал,Экшен;Драма;Тайна;Романтика;Фантастика;Триллер;Удостоено наград;Меха;Музыка;Психологическое,26,7.37,2002,13
166,7 самураев,Samurai 7,Вышло,TV Сериал,Экшен;Фантастика;Исторический;Меха;Самураи,26,7.43,2004,13
167,Выброшенная принцесса,Scrapped Princess,Вышло,TV Сериал,Экшен;Приключения;Драма;Фэнтези;Фантастика;Меха,24,7.37,2003,13
169,Повесть о лунной принцессе,Shingetsutan Tsukihime,Вышло,TV Сериал,Экшен;Ужасы;Тайна;Романтика;Сверхъестественное;Супер сила;Вампиры,12,6.8,2003,0
171,Странный рассвет,Strange Dawn,Вышло,TV Сериал,Приключения;Драма;Фэнтези;Исэкай,13,6.27,2000,13
173,Тактика,Tactics,Вышло,TV Сериал,Сёнен;Тайна;Сверхъестественное;Исторический;Мифология,25,7.19,2004,13
174,Небо и земля,Tenjou Tenge,Вышло,TV Сериал,Сэйнэн;Экшен;Драма;Сверхъестественное;Этти;Хулиганы;Боевые искусства;Школа;Супер сила,24,6.87,2004,0
175,Подземелье Токио,Tokyo Underground,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Романтика;Фантастика;Супер сила,26,6.59,2002,13
177,Хроника крыльев,Tsubasa Chronicle,Вышло,TV Сериал,Сёнен;Экшен;Приключения;Фэнтези;Романтика,26,7.51,2005,13
178,Ультраманьяк,Ultra Maniac,Вышло,TV Сериал,Сёдзё;Комедия;Фэнтези;Романтика;Школа,26,7.15,2003,0
180,Вандред,Vandread,Вышло,TV Сериал,Экшен;Фантастика;Этти;Меха;Космос,13,7.15,2000,13
181,Вандред: Второй уровень,Vandread: The Second Stage,Вышло,TV Сериал,Экшен;Фантастика;Этти;Меха;Космос,13,7.38,2001,13
182,Видение Эскафлона,Tenkuu no Escaflowne,Вышло,TV Сериал,Экшен;Приключения;Фэнтези;Романтика;Триллер;Исэкай;Любовный многоугольник;Меха;Психологическое,26,7.66,1996,13
183,Свисток!,Whistle!,Вышло,TV Сериал,Сёнен;Спорт;Школа;Командный спорт,39,7.36,2002,0
184,Ксеносага,Xenosaga The Animation,Вышло,TV Сериал,Экшен;Фантастика;Меха;Космос,12,6.32,2005,13
186,Инициал Ди: Стадия вторая,Initial D Second Stage,Вышло,TV Сериал,Сэйнэн;Экшен;Драма;Гонки,13,8.18,1999,13
189,Любовь и Хина,Love Hina,Вышло,TV Сериал,Сёнен;Комедия;Романтика;Этти;Гарем,24,7.09,2000,13
193,Мабурахо,Maburaho,Вышло,TV Сериал,Комедия;Драма;Романтика;Этти;Гарем;Школа,24,6.73,2003,18
197,Моя Ризельмина,Rizelmine,Вышло,TV Сериал,Комедия;Романтика;Фантастика;Этти;Школа,24,6.5,2002,18
198,Спидграфер,Speed Grapher,Вышло,TV Сериал,Экшен;Тайна;Сверхъестественное;Триллер;Взрослые персонажи;Жестокость;Организованная преступность;Психологическое;Супер сила,24,7.3,2005,18
200,Нахальный ангел,Tenshi na Konamaiki,Вышло,TV Сериал,Сёнен;Комедия;Романтика;Магическая смена пола,50,7.42,2002,13
